FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,UniqueID
UMMZ.143651.lesc.uc.f.00000001,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,1,,103
UMMZ.143651.lesc.uc.f.00000002,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,2,,104
UMMZ.143651.lesc.uc.f.00000003,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,3,,105
UMMZ.143653.lesc.ba.m.00000001,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,back,0,0,0,0,1,,106
UMMZ.143653.lesc.ba.m.00000002,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,back,0,0,0,0,2,,107
UMMZ.143653.lesc.ba.m.00000003,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,back,0,0,0,0,3,,108
UMMZ.143653.lesc.ch.m.00000001,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,breast,0,0,0,0,1,,109
UMMZ.143653.lesc.ch.m.00000002,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,breast,0,0,0,0,2,,110
UMMZ.143653.lesc.ch.m.00000003,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,breast,0,0,0,0,3,,111
UMMZ.143653.lesc.cn.m.00000001,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat,0,0,0,0,1,,112
UMMZ.143653.lesc.cn.m.00000002,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat,0,0,0,0,2,,113
UMMZ.143653.lesc.cn.m.00000003,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat,0,0,0,0,3,,114
UMMZ.143653.lesc.cr.m.00000001,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,crown,0,0,0,0,1,,115
UMMZ.143653.lesc.cr.m.00000002,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,crown,0,0,0,0,2,,116
UMMZ.143653.lesc.cr.m.00000003,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,crown,0,0,0,0,3,,117
UMMZ.143653.lesc.fo.m.00000001,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,forehead,0,0,0,0,1,,118
UMMZ.143653.lesc.fo.m.00000002,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,forehead,0,0,0,0,2,,119
UMMZ.143653.lesc.fo.m.00000003,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,forehead,0,0,0,0,3,,120
UMMZ.143653.lesc.nb.m.00000001,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat band,0,0,0,0,1,,121
UMMZ.143653.lesc.nb.m.00000002,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat band,0,0,0,0,2,,122
UMMZ.143653.lesc.nb.m.00000003,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat band,0,0,0,0,3,,123
UMMZ.143653.lesc.uc.m.00000001,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,upper tail covert,0,0,0,0,1,,124
